date_time,date,time,irradiance,ambient_temp,wind_speed
2020-09-01 06:05:00+05:30,01-09-2020,06:05:00,0,27.59,7.37
2020-09-01 06:10:00+05:30,01-09-2020,06:10:00,0,27.58,7.39
2020-09-01 06:15:00+05:30,01-09-2020,06:15:00,0,27.58,7.4
2020-09-01 06:20:00+05:30,01-09-2020,06:20:00,0,27.57,7.41
2020-09-01 06:25:00+05:30,01-09-2020,06:25:00,0,27.57,7.42
2020-09-01 06:30:00+05:30,01-09-2020,06:30:00,0,27.56,7.44
2020-09-01 06:35:00+05:30,01-09-2020,06:35:00,0,27.57,7.4
2020-09-01 06:40:00+05:30,01-09-2020,06:40:00,0,27.57,7.37
2020-09-01 06:45:00+05:30,01-09-2020,06:45:00,0,27.58,7.34
2020-09-01 06:50:00+05:30,01-09-2020,06:50:00,0,27.59,7.31
2020-09-01 06:55:00+05:30,01-09-2020,06:55:00,0,27.59,7.27
2020-09-01 07:00:00+05:30,01-09-2020,07:00:00,0,27.6,7.24
2020-09-01 07:05:00+05:30,01-09-2020,07:05:00,0,27.6,7.21
2020-09-01 07:10:00+05:30,01-09-2020,07:10:00,0,27.61,7.17
2020-09-01 07:15:00+05:30,01-09-2020,07:15:00,0,27.62,7.14
2020-09-01 07:20:00+05:30,01-09-2020,07:20:00,0,27.62,7.11
2020-09-01 07:25:00+05:30,01-09-2020,07:25:00,0,27.63,7.07
2020-09-01 07:30:00+05:30,01-09-2020,07:30:00,20,27.64,7.04
2020-09-01 07:35:00+05:30,01-09-2020,07:35:00,20,27.66,7.05
2020-09-01 07:40:00+05:30,01-09-2020,07:40:00,20,27.68,7.06
2020-09-01 07:45:00+05:30,01-09-2020,07:45:00,20,27.71,7.07
2020-09-01 07:50:00+05:30,01-09-2020,07:50:00,20,27.73,7.08
2020-09-01 07:55:00+05:30,01-09-2020,07:55:00,20,27.76,7.09
2020-09-01 08:00:00+05:30,01-09-2020,08:00:00,20,27.78,7.1
2020-09-01 08:05:00+05:30,01-09-2020,08:05:00,20,27.8,7.11
2020-09-01 08:10:00+05:30,01-09-2020,08:10:00,20,27.83,7.12
2020-09-01 08:15:00+05:30,01-09-2020,08:15:00,20,27.85,7.13
2020-09-01 08:20:00+05:30,01-09-2020,08:20:00,20,27.88,7.14
2020-09-01 08:25:00+05:30,01-09-2020,08:25:00,20,27.9,7.16
2020-09-01 08:30:00+05:30,01-09-2020,08:30:00,80,27.92,7.17
2020-09-01 08:35:00+05:30,01-09-2020,08:35:00,80,27.98,7.19
2020-09-01 08:40:00+05:30,01-09-2020,08:40:00,80,28.04,7.21
2020-09-01 08:45:00+05:30,01-09-2020,08:45:00,80,28.1,7.23
2020-09-01 08:50:00+05:30,01-09-2020,08:50:00,80,28.15,7.26
2020-09-01 08:55:00+05:30,01-09-2020,08:55:00,80,28.21,7.28
2020-09-01 09:00:00+05:30,01-09-2020,09:00:00,80,28.27,7.3
2020-09-01 09:05:00+05:30,01-09-2020,09:05:00,80,28.33,7.33
2020-09-01 09:10:00+05:30,01-09-2020,09:10:00,80,28.38,7.35
2020-09-01 09:15:00+05:30,01-09-2020,09:15:00,80,28.44,7.37
2020-09-01 09:20:00+05:30,01-09-2020,09:20:00,80,28.5,7.39
2020-09-01 09:25:00+05:30,01-09-2020,09:25:00,80,28.56,7.42
2020-09-01 09:30:00+05:30,01-09-2020,09:30:00,155,28.62,7.44
2020-09-01 09:35:00+05:30,01-09-2020,09:35:00,155,28.66,7.45
2020-09-01 09:40:00+05:30,01-09-2020,09:40:00,155,28.7,7.46
2020-09-01 09:45:00+05:30,01-09-2020,09:45:00,155,28.75,7.46
2020-09-01 09:50:00+05:30,01-09-2020,09:50:00,155,28.79,7.47
2020-09-01 09:55:00+05:30,01-09-2020,09:55:00,155,28.84,7.48
2020-09-01 10:00:00+05:30,01-09-2020,10:00:00,155,28.88,7.49
2020-09-01 10:05:00+05:30,01-09-2020,10:05:00,155,28.92,7.5
2020-09-01 10:10:00+05:30,01-09-2020,10:10:00,155,28.97,7.5
2020-09-01 10:15:00+05:30,01-09-2020,10:15:00,155,29.01,7.51
2020-09-01 10:20:00+05:30,01-09-2020,10:20:00,155,29.06,7.52
2020-09-01 10:25:00+05:30,01-09-2020,10:25:00,155,29.1,7.53
2020-09-01 10:30:00+05:30,01-09-2020,10:30:00,213,29.14,7.54
2020-09-01 10:35:00+05:30,01-09-2020,10:35:00,213,29.17,7.53
2020-09-01 10:40:00+05:30,01-09-2020,10:40:00,213,29.2,7.52
2020-09-01 10:45:00+05:30,01-09-2020,10:45:00,213,29.23,7.51
2020-09-01 10:50:00+05:30,01-09-2020,10:50:00,213,29.26,7.51
